226.0	0.0	50.0
229.0	0.0	53.0
230.0	0.0	52.0
230.0	0.0	52.0
229.0	0.0	52.0
230.0	0.0	52.0
230.0	0.0	52.0
229.0	0.0	52.0
230.0	0.0	52.0
230.0	0.0	52.0
230.0	0.0	52.0
231.0	0.0	53.0
231.0	0.0	57.0
231.0	0.0	60.0
231.0	0.0	59.0
231.0	0.0	55.0
230.0	0.0	58.0
231.0	0.0	56.0
230.0	0.0	51.0
229.0	0.0	49.0
230.0	0.0	52.0
229.0	0.0	53.0
228.0	0.0	55.0
229.0	0.0	57.0
229.0	0.0	55.0
229.0	0.0	53.0
229.0	0.0	52.0
229.0	0.0	51.0
229.0	0.0	48.0
230.0	0.0	48.0
230.0	0.0	49.0
229.0	0.0	52.0
230.0	0.0	54.0
230.0	0.0	54.0
229.0	0.0	53.0
230.0	0.0	51.0
231.0	0.0	52.0
231.0	0.0	55.0
231.0	0.0	58.0
231.0	0.0	60.0
231.0	0.0	60.0
232.0	0.0	64.0
234.0	0.0	63.0
235.0	0.0	59.0
237.0	0.0	63.0
233.0	0.0	70.0
222.0	0.0	62.0
222.0	0.0	60.0
220.0	0.0	56.0
219.0	0.0	52.0
220.0	0.0	49.0
217.0	0.0	46.0
217.0	0.0	50.0
219.0	0.0	51.0
222.0	0.0	53.0
221.0	0.0	53.0
223.0	0.0	52.0
223.0	0.0	53.0
220.0	0.0	56.0
223.0	0.0	70.0
235.0	0.0	74.0
233.0	0.0	59.0
228.0	0.0	52.0
222.0	0.0	51.0
215.0	0.0	44.0
210.0	0.0	34.0
214.0	0.0	35.0
220.0	0.0	39.0
224.0	0.0	39.0
226.0	0.0	38.0
227.0	0.0	41.0
229.0	0.0	46.0
230.0	0.0	50.0
230.0	0.0	51.0
230.0	0.0	52.0
230.0	0.0	50.0
229.0	0.0	46.0
228.0	0.0	43.0
228.0	0.0	44.0
228.0	0.0	45.0
230.0	0.0	53.0
233.0	0.0	54.0
233.0	0.0	51.0
233.0	0.0	56.0
231.0	0.0	61.0
219.0	0.0	51.0
218.0	0.0	45.0
217.0	0.0	39.0
213.0	0.0	34.0
211.0	0.0	31.0
208.0	0.0	29.0
206.0	0.0	28.0
213.0	0.0	38.0
219.0	0.0	51.0
234.0	0.0	63.0
236.0	0.0	50.0
230.0	0.0	49.0
224.0	0.0	47.0
218.0	0.0	37.0
212.0	0.0	33.0
215.0	0.0	35.0
223.0	0.0	39.0
227.0	0.0	45.0
230.0	0.0	53.0
232.0	0.0	53.0
232.0	0.0	53.0
228.0	0.0	60.0
222.0	0.0	57.0
219.0	0.0	49.0
218.0	0.0	44.0
219.0	0.0	43.0
218.0	0.0	42.0
216.0	0.0	44.0
219.0	0.0	47.0
222.0	0.0	49.0
220.0	0.0	46.0
220.0	0.0	46.0
220.0	0.0	53.0
230.0	0.0	73.0
238.0	0.0	68.0
236.0	0.0	59.0
232.0	0.0	58.0
226.0	0.0	59.0
224.0	0.0	54.0
217.0	0.0	48.0
214.0	0.0	43.0
213.0	0.0	37.0
209.0	0.0	32.0
207.0	0.0	29.0
208.0	0.0	28.0
210.0	0.0	28.0
214.0	0.0	30.0
224.0	0.0	37.0
228.0	0.0	41.0
230.0	0.0	44.0
232.0	0.0	47.0
227.0	0.0	46.0
223.0	0.0	46.0
221.0	0.0	50.0
218.0	0.0	47.0
219.0	0.0	44.0
222.0	0.0	43.0
222.0	0.0	42.0
221.0	0.0	39.0
219.0	0.0	37.0
216.0	0.0	35.0
212.0	0.0	36.0
211.0	0.0	34.0
209.0	0.0	30.0
208.0	0.0	27.0
214.0	0.0	27.0
220.0	0.0	29.0
223.0	0.0	31.0
226.0	0.0	33.0
226.0	0.0	33.0
225.0	0.0	35.0
227.0	0.0	36.0
228.0	0.0	37.0
227.0	0.0	38.0
229.0	0.0	39.0
229.0	0.0	40.0
229.0	0.0	41.0
230.0	0.0	42.0
230.0	0.0	42.0
229.0	0.0	43.0
230.0	0.0	44.0
230.0	0.0	44.0
