0.16284766100034176	1595	723	106	414	200
0.31777024199982407	1581	749	103	293	200
0.47354521899978863	1552	770	82	388	200
0.6241355990005104	1511	703	82	336	200
0.7741825230004906	1463	636	130	459	200
0.9262629200002266	1411	598	167	423	200
1.0677208840006642	1020	567	219	468	200
1.201855613000589	770	522	287	522	200
1.3675415880006767	711	485	1487	574	0
1.5273360850005702	577	442	1454	504	0
1.9520603809996828	671	427	567	567	30.0
2.155772514999626	1064	371	2720	574	0
2.3564107830006833	567	349	2647	784	0
2.508196017000955	928	336	578	844	0
2.6630125250012497	877	327	586	900	0
2.821332561001327	821	322	584	1142	0
2.9891056750002463	767	343	587	1534	0
3.1456751040004747	722	378	591	1562	0
3.290144788001271	678	399	610	713	0
3.4399730850000196	645	448	619	742	14.5
3.591476212000998	613	499	799	785	0
3.7398589360000187	583	529	635	831	47.0
3.8918644820005284	572	568	607	779	80.5
4.041245321999668	657	612	619	825	96.5
4.2017853840006865	595	664	616	565	124.0
4.3515786450007	565	565	867	567	0
4.537951714000883	523	537	1312	1001	0
4.698140836000675	473	506	1302	664	0
4.856197135000912	468	504	870	703	0
5.01182470599997	448	416	815	755	0
5.3333013620012935	11234	404	734	850	0
5.521752644001026	1937	369	714	895	0
5.735708363001322	1863	336	711	935	0
5.953814102000251	1786	388	695	999	0
6.16683953699976	1717	431	677	1062	0
6.375067611001214	1668	485	636	1105	24.5
6.582878578999953	1599	509	594	1173	57.5
6.7835339390003355	1557	565	560	1268	102.5
6.967189359000258	1498	595	513	944	141.0
7.17394617500031	1439	617	485	1383	166.0
7.388279853001222	1362	626	473	1425	176.5
7.595221777000916	1266	620	460	1495	180.0
7.802336662000016	1185	601	468	1575	166.5
8.006731694000337	1104	567	495	1651	136.0
8.217291774000842	1030	523	564	1735	79.5
8.436765346001266	952	485	669	1817	8.0
8.713238878999618	870	466	2778	1916	0
8.950884523999775	765	487	2749	2014	0
9.143130533000658	678	506	1270	1094	0
9.363476167000044	616	541	1241	1149	0
9.55612726400068	560	584	715	1241	34.5
9.765462379000382	522	642	752	1287	45.0
9.951816280999992	485	584	713	1306	35.5
10.150990365000325	464	555	735	1362	10.0
10.346495960000539	435	508	734	1428	0
10.576808665000499	2545	501	776	1505	0
10.776290485000573	1174	346	771	779	0
10.966039009999804	1095	317	791	825	0
11.155271004001406	1053	309	707	871	0
11.328210548001152	1010	309	694	916	0
11.506633463999606	962	322	652	965	0
11.697886265001216	1113	352	640	1023	0
11.898130019000746	1086	371	612	1081	0
12.100520264000806	1868	416	583	612	16.5
12.303044616999614	1810	459	543	646	58.0
12.496608590001415	1760	506	497	702	104.5
12.677917486000297	873	565	471	766	147.0
12.837902241000847	819	565	448	822	158.5
13.03740432000086	1608	560	429	894	165.5
13.241128343001037	1507	555	426	982	164.5
13.440018004999729	1420	544	418	968	163.0
13.660512600001312	1341	518	433	1679	142.5
13.880763606000983	1257	495	492	1760	101.5
14.073322611000549	1177	454	558	847	48.0
14.337325903999954	1112	418	3619	1943	0
14.550325026000792	1015	416	617	2017	0
14.766925673000515	929	435	614	2094	10.5
14.98918894900089	850	460	605	2170	27.5
15.195493011000508	791	485	617	1617	34.0
15.40903471800084	739	518	791	1674	0
15.617654898000183	680	562	782	1744	0
15.87886921000063	623	619	751	3599	34.0
16.050507772000856	590	692	578	705	157.0
16.21411855200131	749	591	565	659	113.0
16.395405782001035	702	575	669	718	53.0
16.57632796100006	568	550	695	774	27.5
16.754433603000507	567	518	691	821	13.5
16.909217835000163	515	459	658	869	0.5
17.083278865000466	492	373	638	946	0
17.240376232000926	558	378	635	847	0
17.402907155999856	497	349	628	882	0
17.594295881001017	609	354	617	924	0
17.794871946000058	2014	364	601	975	0
18.006407068000044	1950	357	593	1038	0
18.218341036999846	1937	369	567	1091	1.0
18.41667968799993	1845	407	530	777	38.5
18.60897389999991	1787	440	495	820	72.5
18.798355541001	1719	479	471	703	104.0
18.987759755000297	1655	492	421	753	135.5
19.194076335999853	1580	479	414	832	132.5
19.400049236000996	1498	477	395	1106	141.0
19.604194143001223	1416	495	435	1191	130.0
19.822445361000064	1333	479	444	1660	117.5
20.035204040999815	1251	462	485	1734	88.5
20.244996520001223	1175	431	532	1816	49.5
20.450384077001218	1100	426	541	1896	42.5
20.65888940700097	1012	418	546	1962	36.0
20.87004836699998	941	446	543	2052	51.5
21.090668962000564	858	454	546	2134	54.0
21.312409226000455	784	493	551	2201	71.0
21.53320185499979	719	502	568	2268	67.0
21.757656064000912	639	520	593	2341	63.5
21.964944429000752	564	548	897	1740	0
22.175107607001337	502	581	1199	1771	0
22.377827162001267	444	659	1321	1825	0
22.565361160000975	426	787	800	1213	93.5
22.74442299400107	438	908	761	914	173.5
22.922010051001052	390	646	778	841	34.0
23.112099052001213	336	444	720	1038	0
23.296086524000202	267	426	782	1646	0
23.44831251100004	219	287	790	1020	0
23.60801139999967	193	349	567	959	0
23.76343910400101	174	402	802	890	0
23.92176543700043	147	216	797	925	0
24.08226179600024	298	92	802	970	0
24.239031426999645	267	92	805	1020	0
24.42815866300043	1138	92	766	1071	0
24.58527543800119	349	109	735	1128	0
24.7312533610002	306	127	714	1169	0
24.885170307999942	710	143	681	555	0
25.04073025100115	702	140	649	565	0
25.217110491001222	1596	157	621	606	0
25.387568125001053	1555	183	581	492	0
25.586049569999886	1519	243	543	522	0
25.77780654900016	1602	426	492	565	67.0
25.973866730000736	1681	565	446	620	159.5
26.16805280600056	1616	570	495	492	137.5
26.356975360000433	1551	487	385	548	151.0
26.525992680000854	1315	495	352	619	171.5
26.695751451999968	1216	489	349	565	170.0
26.889279537999755	1132	481	359	965	161.0
27.07788174400048	1050	448	397	1039	125.5
27.25774634499976	985	421	426	1100	97.5
27.435744747999706	926	409	468	1384	70.5
27.625671826001053	855	392	513	1465	39.5
27.82383233099972	790	376	539	1542	18.5
28.031597097000486	720	404	911	1627	0
28.214770837999822	654	444	909	767	0
28.400787653001316	607	497	899	815	0
28.570804181999847	567	548	893	864	0
28.76727187600045	565	584	1359	914	0
28.9602430240011	568	659	1326	564	0
29.13776302699989	595	571	811	571	0
29.30806488500093	593	551	777	617	0
29.50732304200028	2181	497	612	657	42.5
29.717314055000315	2090	444	609	711	17.5
29.922161915999823	2006	427	572	767	27.5
30.12551348099987	1934	442	570	840	36.0
30.33135514300011	1857	473	565	921	54.0
30.5356626770008	1785	497	548	975	74.5
30.73964191900086	1714	548	544	1045	102.0
30.944006563000585	1648	555	537	1115	109.0
31.14834561600037	1568	564	532	1187	116.0
31.357055610000316	1496	548	541	1257	103.5
31.572194332000436	1418	529	551	1345	89.0
31.78794975100027	1333	511	562	1434	74.5
32.00526070399974	1257	499	579	1507	60.0
32.22362297700056	1173	492	579	1592	56.5
32.44209061800029	1092	493	564	1676	64.5
32.65786572199977	1007	495	594	1757	50.5
32.875696390001394	928	497	683	1831	7.0
33.070450274000905	852	508	677	941	15.5
33.25338305600053	788	541	651	963	45.0
33.43569256900082	734	578	642	1027	68.0
33.62041406800017	681	609	612	1067	98.5
33.813867414000924	642	642	645	1151	98.5
34.00766655100051	565	657	1185	1283	0
34.2441408600007	513	676	2556	1316	0
34.46008649800024	440	586	1754	1386	0
34.66404792600042	440	509	1121	1436	0
34.92812664400117	2513	515	1080	1513	0
35.15585299600025	2424	341	1036	820	0
35.34311738700126	1331	306	763	852	0
35.52042657700076	1248	287	725	894	0
35.69617697400099	931	290	694	937	0
35.88391106200106	911	301	688	991	0
36.07031750200076	856	317	664	1044	0
36.246283600001334	855	343	647	1095	0
36.42620275500121	1055	373	620	643	0
36.623981783999625	1811	423	581	642	21.0
36.816656140001214	1751	460	546	695	57.0
36.99817847800114	903	499	504	747	97.5
37.1779279880011	838	550	468	811	141.0
37.363617715000146	1610	558	442	871	158.0
37.56512632399972	1538	570	429	954	170.5
37.76763101200049	1454	567	404	1033	181.5
37.98407486600081	1363	546	409	1669	168.5
38.19939804900059	1276	525	435	1746	145.0
38.39668830700066	1199	487	495	1825	96.0
38.57521718499993	1130	466	558	894	54.0
38.78495088800082	1068	390	600	1969	0
38.9761450040005	985	427	621	1053	3.0
39.17512322100083	909	431	623	1115	4.0
39.385858743000426	832	457	629	2183	14.0
39.59126454100078	774	487	631	1616	28.0
39.80016427299961	723	518	812	1681	0
40.008782656999756	674	557	784	1759	0
40.275291973001	617	614	753	3778	30.5
40.45173367500138	577	677	716	753	80.5
40.63304149800024	744	588	594	657	97.0
40.79696860800141	702	565	684	837	40.5
40.98224260000097	767	541	690	770	25.5
41.162986967001416	565	513	684	831	14.5
41.33567025600132	504	380	636	899	0
41.49004543800038	495	364	631	838	0
41.660374518000026	537	343	626	858	0
41.81940406400099	564	352	624	894	0
41.98842625399993	620	354	609	935	0
42.20790502999989	2005	359	590	991	0
42.4269305910002	1947	369	572	1054	0
42.64027806000013	1912	392	553	1115	19.5
42.847436464000566	1841	423	506	790	58.5
43.047968808001315	1759	475	473	661	101.0
43.247706348000065	1684	487	431	737	128.0
43.45383591300015	1616	489	404	990	142.5
43.65401487300005	1537	473	409	1071	132.0
43.86746763700103	1451	468	404	1168	132.0
44.086461476001205	1366	481	440	1630	120.5
44.305251836000025	1286	440	487	1705	76.5
44.52234097800101	1213	438	529	1784	54.5
44.72966834200088	1127	402	548	1861	27.0
44.939529172999755	1045	418	560	1926	29.0
45.15499907699996	965	427	546	2014	40.5
45.374825460001375	890	466	525	2108	70.5
45.59386446500139	815	489	518	2161	85.5
45.81461929800025	755	515	534	2236	90.5
46.028180246001284	669	525	565	1663	80.0
46.25506007200056	590	530	772	2440	0
46.479418654000256	515	564	1204	2478	0
46.708159437001086	448	614	952	1844	0
